A201_10-000	Yann Ezel : E Penn Ar Chaoser	YANN EZEL : E PENN AR CHAOSER	# jɑ̃n 'e.zɛl # e pɛn ar 'ʃɔ.sɛr #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-00	Noziñ a rae . 	Noziñ a rae. 	# 'no.zi a rɛ: #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-01	War ar chaoser , Herle Pendezeg , ur paotr yaouank , 	War ar chaoser, Herle Pendezeg, ur paotr yaouank, 	# war ar 'ʃɔ.sɛr # 'ɛr.le pɛn.'de.zɛk # œr pɔtr 'jɔ.wɑ̃ŋk #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-02	a gerzhe e-unan-penn , dizamant d'ar glav a zivere war e zivoc'h hag a daole ur blaz goular war e vuzelloù . 	a gerzhe e-unan-penn, dizamant d’ar glav a zivere war e zivoc’h, hag a daole ur blaz goular war e vuzelloù. 	# a 'gɛr.ze e.y.'nɑ̃n.pɛn # di.'zɑ̃.mɑ̃n dar glaw a zi.'ve.re war e 'zi.vox ag a 'daw.le œr blɑ:s 'gu.lar war e vy.'zɛ.lu #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-03	Gwisket e oa e doare gant ur vantell c'hlav louet troñset ar c'holier outi ha boteier lêrgoad en e dreid . 	Gwisket e oa e doare gant ur vantell c’hlav louet, troñset ar c’holier outi ha boteier lêrgoad en e dreid. 	# 'gwi.skɛd e wa e 'dwɑ.re gɑ̃n œr 'vɑ̃n.tɛl xlaw lwet 'trõ.sɛd ar 'xo.ljɛr 'u.ti a bo.'te.jɛr 'lɛr.gwad en e drɛjt #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-04	Mont ha dont a reas meur a wech a-hed ar chaoser , o sellout mare ha mare ha dont a rae , 	Mont ha dont a reas meur a wech a-hed ar chaoser, o sellout mare ha mare, ha dont a rae, 	# mõnt a dõnd a 're.as mø:r a weʃ 'ah.ed ar 'ʃɔ.sɛr # o 'sɛ.lut 'mɑ.re a 'mɑ.re a dõnd a rɛ: #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-05	en deñvalijenn war ar c'hae a oa a-serzh , ur skeud a anaveze mat eus a-bell dre e stumm hag e vale . 	en deñvalijenn war ar c’hae a oa a-serzh, ur skeud a anaveze mat eus a-bell, dre e stumm hag e vale. 	# en dẽ.va.'li.ʒɛn war ar xɛ a wa 'a.sɛrs # œr skø:d a ɑ̃.nɑ.'ve.ze mɑ:d øz 'a.bɛl dre e stym ag e 'vɑ.le #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-06	Kaer en doa furchal gant e zaoulagad dallet gant ar glav , 	Kaer en doa furchal gant e zaoulagad dallet gant ar glav, 	# kɛ:r en dwa 'fyrʃ.al gɑ̃n e zɔw.'lɑg.at 'da.lɛd gɑ̃n ar glaw #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-07	netra ne wele nemet rummadoù martoloded daleet a zassone trouz o botoù-koad war ar pavezioù . 	netra ne wele nemet rummadoù martoloded, daleet a zassone trouz o botoù-koad war ar pavezioù. 	# 'ne.trɑ ne 'we.le 'ne.met ry.'ma.du mar.to.'lo.dɛd da.'le.ɛd a sa.'sõ.ne tru:z o bo.'tu.kwad war ar pɑ.'vɛ.zju #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
A201_10-001-08	Ne oa ket un amzer kennebeut da c'haloupat er-maez , da veskañ ar pri ha da dañva ar glav . 	Ne oa ket un amzer kennebeut da c’haloupat er-maez, da veskañ ar pri ha da dañva ar glav. 	# ne wa ked œn 'ɑ̃m.zɛr kɛ.'ne.bøt dɑ xa.'lu.pad 'er.mɛs # dɑ 've.skɑ̃ ar pri: a dɑ 'dɑ̃.va ar glaw #	1	1	0	session_2/dialogs/documents/01_Antho_breton_3_texts_and_dialogs9-E_PENN_AR_CHAOSER.txt
