L101_001	Dek embregerezh eus ar vro Vigoudenn , o sinañ evit ar brezhoneg .	10 embregerezh eus ar vro Vigoudenn o sinañ evit ar brezhoneg.	# deg em.breg.'ɛ.rez øz ar vro vig.'u.dɛn # o 'si.nɑ̃ 'e.vid ar bre.'zõ.nɛk #	1	1	0	Skridoù_PHM.txt		cov-3
L101_026	An endro beviñ hag an endro .	an endro beviñ hag an endro.	# ɑ̃n 'en.dro 'be.vi ag ɑ̃n 'en.dro #	1	1	0	Skridoù_PHM.txt		cov-1
L101_043	Ar gwir o deus ar yezhoù rannvro ivez , da vezañ gwarezet gant pennaenn ar gevatalder er Republik .	Ar gwir o dues ar yezhoù rannvro ivez da vezañ gwarezet gant pennaenn ar gevatalder er Republik.	# ar gwi:r o døz ar 'je.zu 'rɑ̃n.vro 'i.ves # dɑ 've.zɑ̃ gwɑ.'re.zɛd gɑ̃n pɛ.'na.ɛn ar ge.va.'tal.dɛr er re.'py.blik #	1	1	0	Skridoù_PHM.txt		cov-5
L101_045	Ar prenañ kengret evit an implij .	Ar prenañ rengrener evit an implij.	# ar 'pre.nɑ̃ 'kɛng.red 'e.vid ɑ̃n 'im.pliʃ #	1	1	0	Skridoù_PHM.txt		cov-6
L101_049	Ar servijoù e bourzh .	Ar servijoù e bourzh.	# ar sɛr.'vi.ʒu e burs #	1	1	0	Skridoù_PHM.txt		cov-4
L101_055	Benel eo ar ger , ur vagouri a ranker lavaret neuze .	Benel eo ar ger, ur vagouri a ranker lavaret neuze.	# 'be.nɛl ɛw ar ge:r # œr 'vag.urj a 'rɑ̃ŋ.kɛr la.'vɑ.rɛd 'nø.ze #	1	1	0	Skridoù_PHM.txt		cov-7
L101_058	Bez' ez eus div wezh muioc'h a dud , oc'h en em zistrujañ , eget a dud lazhet war an hentoù .	Bez' ez eus div wezh muioc'h a dud oc'h en em zistrujañ eget a dud lazhet war an hentoù.	# bez øs diw wez 'mɥi.ɔh a dy:t # ɔh en ɛm zi.'stry.ʒɑ̃ # 'eg.ed a dy:t 'lɑ.zɛd war ɑ̃n 'hɛn.tu #	1	1	0	Skridoù_PHM.txt		cov-1
L101_061	Brasoc'h e oa chanterioù Redon da neuze , eget re an Alre , an Oriant , ha Gwened .	Brasoc'h e oa chanterioù Redon da neuze eget re an Alre, an Oriant ha Gwened.	# 'brɑ.sɔh e wa ʃɑ̃n.'tɛr.ju 're.dõn dɑ 'nø.ze # 'eg.et re: ɑ̃n 'al.re # ɑ̃n o.'ri.ɑ̃n # a 'gwe.nɛt #	1	1	0	Skridoù_PHM.txt		cov-5
L101_066	Chomlec'h resis ar gwerzh ( tachenn brevez , palier kenwerzhel , parklec'h ur stal kenwerzh dre ar munud , … ) .	Chomlec'h resis ar gwerzh (tachenn brevez, palier kenwerzhel, parklec'h ur stal kenwerzh dre ar munud, …).	# 'ʃɔm.lɛx 're.siz ar gwɛrs # 'taʃ.ɛn 'bre.vɛs # 'pa.ljɛr kɛ.'nwɛr.zɛl # 'par.klɛh œr stɑ:l 'kɛ.nwɛrs dre ar 'my.nyt #	1	1	0	Skridoù_PHM.txt		cov-6
L101_081	Diskouez ar posteloù koshoc'h eget :	Diskouez ar posteloù koshoc'h eget :	# 'di.skwɛz ar pɔ.'stɛ.lu 'ko.sɔh 'eg.et #	1	1	0	Skridoù_PHM.txt		cov-1
L101_088	Dresañ ar fazioù .	Dresañ ar fazioù.	# 'drɛ.sɑ̃ ar fɑ.'zi.u #	1	1	0	Skridoù_PHM.txt		cov-6
L101_089	E mil eizh kant seitek ha tri-ugent , e voe fiziet ennañ kinkladur mogerioù Iliz-veur Roazhon , gant ar c'hardinal Sant-Mark .	E 1877 e voe fiziet ennañ kinkladur mogerioù Iliz-veur Roazhon gant ar c'hardinal Sant-Mark.	# e mil ɛjs kɑ̃n 'sɛj.teg a tri.'yg.ɛnt # e vwe: 'fi.zjɛd 'ɛ.nɑ̃ kiŋ.'klɑ.dyr mog.'ɛr.ju i.'liz.vør 'rwɑ.zõn # gɑ̃n ar xar.'di.nɑl 'sɑ̃n.mark #	1	1	0	Skridoù_PHM.txt		cov-1
L101_093	E Frankfurt , e oa bet miliadoù a dud entanet o lidañ distro skipailh Alamagn .	E Frankfurt, e oa bet miliadoù a dud entanet o lidañ distro skipailh Alamagn.	# e 'frɑ̃ŋk.furt # e wa bet mi.'lja.du a dy:d en.'tɑ̃.nɛd o 'li.dɑ̃ 'di.stro 'ski.paʎ a.'la.maɲ #	1	1	0	Skridoù_PHM.txt		cov-5
L101_094	E-pad dek devezh e vo graet enor da Frañs Atlantel , evel ma oa bet graet warlene da Iwerzhon .	E-pad dek devezh e vo graet enor da Frañs Atlantel, evel ma oa bet graet warlene da Iwerzhon.	# 'e.pɑt deg 'de.vez e vo grɛ:d 'e.nɔr dɑ frɑ̃z at.'lɑ̃n.tɛl # 'e.vɛl ma wa bet grɛ:t war.'le.ne dɑ i.'wɛr.zõn #	1	1	0	Skridoù_PHM.txt		cov-1
L101_105	Etre « ar » :	etre « ar » :	# 'e.tre # ar #	1	1	0	Skridoù_PHM.txt		cov-2
L101_127	Ha se a zo skrivet sklaer .	Ha se a zo skrivet sklaer.	# a se a zo 'skri.vet sklɛ:r #	1	1	0	Skridoù_PHM.txt		cov-7
L101_136	Implijout gant ar voger gleiz .	Implijout gant ar voger gleiz.	# im.'pli.ʒut gɑ̃n ar 'vog.ɛr glɛjs #	1	1	0	Skridoù_PHM.txt		cov-5
L101_141	Kaouad vor .	Kaouad vor.	# 'kɔ.wat vor #	1	1	0	Skridoù_PHM.txt		cov-4
L101_178	Ne chome bilhed ebet da werzhañ .	Ne chome bilhed ebet da werzhañ.	# ne 'ʃõ.me 'biʎ.ɛd 'e.bet dɑ 'wɛr.zɑ̃ #	1	1	0	Skridoù_PHM.txt		cov-3
L101_179	Ne oa ket c'hoazh a enepviruz e brezhoneg avat .	Ne oa ket c'hoazh a enepviruz e brezhoneg avat.	# ne wa ket xwaz a e.nɛp.'vi.ryz e bre.'zõ.nɛg 'a.vat #	1	1	0	Skridoù_PHM.txt		cov-7
L101_201	Perzhioù al lijorenn roadennoù .	Perzhioù al lijorenn roadennoù.	# 'pɛr.zju al li.'ʒo.rɛn ro.a.'dɛ.nu #	1	1	0	Skridoù_PHM.txt		cov-2
L101_208	Prizioù al lec'hioù da goulz uhel ar blez .	Prizioù al lec'hioù da goulz uhel ar blez.	# 'pri.zju al 'leh.ju dɑ gulz 'y.ɛl ar ble:s #	1	1	0	Skridoù_PHM.txt		cov-3
L101_213	Roll-istor ar stummoù .	Roll-istor ar stummoù.	# rɔ.'li.stor ar 'sty.mu #	1	1	0	Skridoù_PHM.txt		cov-4
L101_215	Sellit bremañ , ouzh ar berrdres orin , a zo war ziskouez a-zehoù , e-kichen ar werenn .	Sellit bremañ ouzh ar berrdres orin a zo war ziskouez a-zehoù e-kichen ar werenn.	# 'sɛ.lid 'bre.mɑ̃ # uz ar 'bɛr.drɛz 'o.rin # a zo war 'zi.skwɛz a.'ze.u # e.'kiʃ.ɛn ar 'we.rɛn #	1	1	0	Skridoù_PHM.txt		cov-2
L101_216	Skeiñ war-zu an hent .	Skeiñ war-zu an hent.	# skɛj 'war.zy ɑ̃n hɛnt #	1	1	0	Skridoù_PHM.txt		cov-4
L101_217	Souezhus eo gwelet , pegen nebeut a draoù , a zo e su Penn-ar-Bed , hag er Mor-Bihan a-bezh .	Souezhus eo gwelet pegen nebeut a draoù a zo e su Penn-ar-Bed hag er Mor-Bihan a-bezh.	# 'swe.zyz ɛw 'gwe.lɛt # 'peg.ɛn 'ne.bød a drɔw # a zo e sy: pɛ.'nar.bet # ag er mor.'bi.ɑ̃n 'a.bes #	1	1	0	Skridoù_PHM.txt		cov-1
